bot_code,bot_type,sov_code,sov_name,wgsrpd_code,wgsrpd_name,wgsrpd_area,sov_intersection_area,bot_area_total,sov_area_total,proportion_total_sov,proportion_total_bot,bot_name
AFG,entire_sov,AFG,Afghanistan,AFG,Afghanistan,641916.437298876,639142.452828032,639142.452828032,639142.452828032,1,1,Afghanistan
AGO,entire_sov,AGO,Angola,ANG,Angola,1240511.68175839,1236317.02661243,1242873.3650557296,1242873.3650557296,0.994724854013582,0.994724854013582,Angola and Cabinda
AGO,entire_sov,AGO,Angola,CAB,Cabinda,6981.7195755713,6556.3384432995,1242873.3650557296,1242873.3650557296,0.005275145986417947,0.005275145986417947,Angola and Cabinda
ALB,entire_sov,ALB,Albania,ALB,Albania,28677.1537640255,27956.3832198295,27956.3832198295,27956.3832198295,1,1,Albania
AND,multi_sov,IND,India,AND,Andaman Is.,5935.7757951953,5154.6010070488,5181.5105888037,3140876.654877194,0.0016411344899662547,0.9948066145395811,Andaman Islands
AND,multi_sov,MMR,Myanmar,AND,Andaman Is.,5935.7757951953,26.9095817549,5181.5105888037,658748.2432164489,4.084956890891951e-5,0.0051933854604189564,Andaman Islands
ARG,entire_sov,ARG,Argentina,AGS,Argentina South,785017.053217043,782050.761377509,2775183.5905168457,2775183.5905168457,0.28180145055983885,0.28180145055983885,Argentina
ARG,entire_sov,ARG,Argentina,AGW,Argentina Northwest,873303.57433815894,872805.282585267,2775183.5905168457,2775183.5905168457,0.3145036189921825,0.3145036189921825,Argentina
ARG,entire_sov,ARG,Argentina,AGE,Argentina Northeast,1122736.92235702,1120327.54655407,2775183.5905168457,2775183.5905168457,0.4036949304479788,0.4036949304479788,Argentina
ATA,entire_sov,ATA,Antarctica,ANT,Antarctica,12403203.5135241,12185726.7555364,12185726.7555364,12185726.7555364,1,1,Antarctica
AUS,entire_sov,AUS,Australia,HMD,Heard-McDonald Is.,402.6297698972,375.4662818107,7677872.219121213,7677872.219121213,4.890238741869486e-5,4.890238741869486e-5,Australia and territories
AUS,entire_sov,AUS,Australia,NTA,Northern Territory,1348777.65650292,1345796.65120611,7677872.219121213,7677872.219121213,0.17528250181795105,0.17528250181795105,Australia and territories
AUS,entire_sov,AUS,Australia,XMS,Christmas I.,123.9823586898,25.7038424463,7677872.219121213,7677872.219121213,3.3477820042753966e-6,3.3477820042753966e-6,Australia and territories
AUS,entire_sov,AUS,Australia,NSW,New South Wales,804762.569071201,804019.866405718,7677872.219121213,7677872.219121213,0.10471909970100333,0.10471909970100333,Australia and territories
AUS,entire_sov,AUS,Australia,VIC,Victoria,227725.301063263,227247.704121622,7677872.219121213,7677872.219121213,0.02959774500488263,0.02959774500488263,Australia and territories
AUS,entire_sov,AUS,Australia,NFK,Norfolk Is.,63.2115300499,50.4714238105,7677872.219121213,7677872.219121213,6.573621228652958e-6,6.573621228652958e-6,Australia and territories
AUS,entire_sov,AUS,Australia,MAQ,Macquarie Is.,128.2713113214,114.4124230785,7677872.219121213,7677872.219121213,1.4901579475829739e-5,1.4901579475829739e-5,Australia and territories
AUS,entire_sov,AUS,Australia,CKI,Cocos (Keeling) I.,28.7373874749,10.7955682263,7677872.219121213,7677872.219121213,1.4060625025009377e-6,1.4060625025009377e-6,Australia and territories
AUS,entire_sov,AUS,Australia,TAS,Tasmania,68502.9540794673,67143.9101031865,7677872.219121213,7677872.219121213,0.00874511950537145,0.00874511950537145,Australia and territories
